Name,MC_USD_Billion,Rank,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
JPMorgan Chase,432.92,1,402.62,346.34,35910.71
Bank of America,231.52,2,215.31,185.22,19204.58
Industrial and Commercial Bank of China,194.56,3,180.94,155.65,16138.75
Agricultural Bank of China,160.68,4,149.43,128.54,13328.41
HDFC Bank,157.91,5,146.86,126.33,13098.63
Wells Fargo,155.87,6,144.96,124.7,12929.42
HSBC Holdings PLC,148.9,7,138.48,119.12,12351.26
Morgan Stanley,140.83,8,130.97,112.66,11681.85
China Construction Bank,139.82,9,130.03,111.86,11598.07
Bank of China,136.81,10,127.23,109.45,11348.39
